disciplines,gender
['Wrestling'],Male
['Wrestling'],Male
['Wrestling'],Male
['Wrestling'],Male
['Wrestling'],Male
['Athletics'],Female
['Judo'],Male
['Athletics'],Female
['Athletics'],Male
['Triathlon'],Female
['Triathlon'],Female
['Triathlon'],Male
['Athletics'],Male
['Swimming'],Female
['Artistic Swimming'],Female
['Artistic Swimming'],Female
['Artistic Swimming'],Female
['Artistic Swimming'],Female
['Artistic Swimming'],Female
['Artistic Swimming'],Female
['Artistic Swimming'],Female
['Artistic Swimming'],Female
['Artistic Swimming'],Female
['Judo'],Male
['Weightlifting'],Male
['Athletics'],Male
['Athletics'],Male
['Athletics'],Male
['Athletics'],Female
['Swimming'],Male
['Canoe Slalom'],Male
['Boxing'],Male
['Boxing'],Male
['Athletics'],Female
['Athletics'],Male
['Athletics'],Male
['Athletics'],Male
['Athletics'],Male
['Athletics'],Male
['Athletics'],Female
['Athletics'],Female
['Athletics'],Female
['Athletics'],Female
['Athletics'],Male
['Sailing'],Female
['Sailing'],Female
['Rowing'],Female
['Rowing'],Male
['Rowing'],Male
['Artistic Gymnastics'],Female
['Diving'],Male
['Diving'],Male
['Diving'],Female
['Diving'],Female
['Diving'],Male
['Equestrian'],Male
['Equestrian'],Male
['Swimming'],Male
['Artistic Gymnastics'],Female
['Artistic Gymnastics'],Female
['Rhythmic Gymnastics'],Female
['Rhythmic Gymnastics'],Female
['Rhythmic Gymnastics'],Female
['Rhythmic Gymnastics'],Female
['Rhythmic Gymnastics'],Female
['Modern Pentathlon'],Male
['Modern Pentathlon'],Male
['Modern Pentathlon'],Female
['Taekwondo'],Male
['Taekwondo'],Female
['Surfing'],Male
['Judo'],Male
['Judo'],Male
['Judo'],Male
['Judo'],Male
['Judo'],Female
['Judo'],Male
['Cycling Road'],Female
['Archery'],Female
['Archery'],Female
['Archery'],Male
['Cycling Road'],Female
['Shooting'],Male
['Shooting'],Female
['Shooting'],Female
['Shooting'],Male
['Triathlon'],Male
['Canoe Slalom'],Female
['Canoe Sprint'],Female
['Canoe Sprint'],Female
['Athletics'],Female
['Athletics'],Male
['Athletics'],Female
['Athletics'],Female
['Wrestling'],Female
['Boxing'],Female
['Boxing'],Female
['Sailing'],Male
['Swimming'],Male
['Athletics'],Female
['Equestrian'],Male
['Modern Pentathlon'],Male
['Football'],Male
['Football'],Male
['Football'],Male
['Football'],Male
['Sailing'],Male
['Sailing'],Male
['Swimming'],Female
['Swimming'],Male
['Athletics'],Female
['Football'],Male
['Football'],Male
['Diving'],Male
['Football'],Male
['Shooting'],Male
['Cycling Road'],Female
['Sailing'],Female
['Football'],Male
['Football'],Male
['Football'],Male
['Football'],Male
['Swimming'],Male
